wavelength,flux
8590.135516865445,9.136886596679688e-17
8592.11166625238,7.875916481018066e-17
8594.092988225731,5.1146016120910646e-17
8596.070048023752,5.579930782318116e-17
8598.052282791197,9.341255187988282e-17
8600.030253419729,1.0751060485839844e-16
8602.013401401793,6.837594509124756e-17
8603.992283280455,5.145096778869629e-17
8605.971620398293,5.0101161003112794e-17
8607.95613844646,5.1898522377014167e-17
8609.936387443971,6.085755825042724e-17
8611.921819758662,7.621593475341797e-17
8613.902981055946,9.879639625549318e-17
8615.889328058362,1.2697455406188966e-16
8617.871402075718,1.653248405456543e-16
8619.853932066595,1.9969598770141604e-16
