id,x_0,y_0,sharpness,roundness1,roundness2,npix,sky,peak,flux_0,mag,group_id,x_fit,y_fit,flux_fit,flux_unc,x_0_unc,y_0_unc,iter_detected
144,295.292269342666,96.84972851511603,0.37653699849993394,-0.1251371204853058,-0.08767152119894757,25,0.0,1.6170984506607056,16.633651733398438,-3.0524690105360475,91,295.2881731161539,97.02572431295485,40.52162404812438,0.14299147326151532,0.07953084433244398,0.13094778294282275,1
145,13.291267578682865,99.27169541664034,0.3875401493562253,0.08765741437673569,-0.24899758750704357,25,0.0,0.2777046859264374,1.1338753700256348,-0.1364133041949646,92,2.476443113372723,102.72576740612013,194.36146151407175,0.18530529947171678,0.07820387118893937,0.08761207293962002,1
146,270.462576122184,99.96256036374871,0.38081912957127034,-0.0909963920712471,-0.08817095112070908,25,0.0,6.252089977264404,61.47175979614258,-4.471689115395858,93,270.40360435863494,100.09081702756716,163.25646614054216,0.21276724244788223,0.06552646289681092,0.06168752557027524,1
147,35.50114104754785,101.79729955599109,0.42260663205173127,0.4282076954841614,0.15586259952301101,25,0.0,0.7171907424926758,5.396013259887695,-1.8301825205357032,94,36.12987056778557,102.41959275327194,21.798241453002433,0.13994307449451587,0.0190325844054782,0.015833076934077102,1
156,31.481318569062474,107.10065183756782,0.3275380026791921,0.4681089520454407,0.038651888041078886,25,0.0,0.19528089463710785,1.1990147829055786,-0.19706134409979376,94,31.07508599694039,107.5258927266768,7.242059163582751,0.20697027568883083,0.01869466622526971,0.025899273516294674,1
148,438.8133602325587,100.9160624813943,0.3755598405393452,-0.42697200179100037,-0.11937166745272651,25,0.0,0.21273061633110046,2.4629106521606445,-0.9786216426941514,95,438.7433671909221,101.11268284060218,5.077494705910583,0.09186416642557259,0.009333508049060862,0.008582100051630976,1
149,191.2755787987079,101.92712315450136,0.38420611666621357,0.008519553579390049,0.07550367529068336,25,0.0,0.3938160538673401,4.196076393127441,-1.5571084657316443,96,191.27741764835935,101.99998812372598,9.701780438078881,0.12997474148973295,0.08396067258113737,0.07963876135344901,1
150,205.32484706926368,105.22592427387329,0.3871883209652987,-0.011566226370632648,-0.08006757776215648,25,0.0,0.4331566095352173,4.418549060821533,-1.6131992037304221,97,205.40600811374998,105.32667662289035,11.253857550854102,0.1230264393135369,0.052765279943202154,0.07887177974001996,1
151,58.51696484742045,106.34409592093952,0.38346069451485426,-0.16208712756633759,-0.05596160005752689,25,0.0,6.064714431762695,60.07868576049805,-4.446801059440746,98,58.393347328802314,106.36455626346097,155.8035671456252,0.11455204847646641,0.05405816743044474,0.07492508469646754,1
152,84.20272489429234,106.15498390707153,0.41164626513406133,-0.2564549744129181,-0.09658704520183393,25,0.0,0.18792115151882172,1.5220280885696411,-0.4560566682056972,99,83.56912035263757,105.7443258042816,6.751828074967691,0.09748293775151197,0.056108518893496565,0.07859429401772967,1
153,149.3895071095795,106.21689831400738,0.3785698380700337,-0.030055036768317223,-0.09030031063708849,25,0.0,1.3327183723449707,13.928430557250977,-2.8597554581946594,100,149.43492992536622,106.30226278574158,34.17437566249648,0.2101329537676985,0.006027738749314066,0.008063433841656566,1
